사용자 인식 번호,사용자 다면평가 결과,평가자 부서,평가자 직책,평가 실시 일
U001,업무 역량이 꾸준히 향상되고 있습니다.,생산부,사원,2026-01-19
U001,문제 해결 능력이 뛰어납니다.,인사부,과장,2026-01-21
U001,팀워크를 잘 이끌어내는 리더십이 있습니다.,마케팅부,과장,2026-01-16
U002,개선이 필요한 부분이 있습니다.,마케팅부,사원,2026-01-11
U002,업무에 대한 열정이 높습니다.,재무부,사원,2025-12-22
U002,전반적으로 만족스러운 성과를 보입니다.,마케팅부,부장,2025-12-29
U003,창의적인 아이디어를 제시합니다.,생산부,과장,2026-01-04
U003,업무 처리 속도가 빠르고 정확합니다.,생산부,사원,2025-12-31
U003,개선이 필요한 부분이 있습니다.,마케팅부,과장,2026-01-02
U003,커뮤니케이션에서 개선의 여지가 있습니다.,생산부,차장,2025-12-26
U004,개선이 필요한 부분이 있습니다.,마케팅부,대리,2026-01-12
U004,성실하고 협력적인 태도를 보입니다.,재무부,사원,2025-12-23
U004,팀과의 협력이 부족한 부분이 있습니다.,인사부,사원,2026-01-06
U005,창의적인 아이디어를 제시합니다.,재무부,부장,2026-01-03
U005,업무 우선순위 설정이 필요합니다.,마케팅부,대리,2026-01-01
U005,동료들과의 관계가 원활합니다.,영업부,차장,2026-01-08
U006,전반적으로 만족스러운 성과를 보입니다.,인사부,대리,2026-01-12
U006,동료들과의 관계가 원활합니다.,인사부,차장,2026-01-19
U006,개선이 필요한 부분이 있습니다.,재무부,부장,2026-01-19
U007,책임감 있는 태도를 보여주세요.,생산부,과장,2026-01-20
U007,업무 우선순위 설정이 필요합니다.,생산부,대리,2026-01-09
U007,동료들과의 관계가 원활합니다.,생산부,대리,2025-12-31
U007,업무에 대한 이해도가 높습니다.,생산부,사원,2025-12-31
U008,커뮤니케이션에서 개선의 여지가 있습니다.,영업부,사원,2025-12-23
U008,성실하고 협력적인 태도를 보입니다.,재무부,대리,2026-01-01
U008,업무에 대한 이해도가 높습니다.,개발부,대리,2026-01-02
U009,업무 처리 속도가 빠르고 정확합니다.,마케팅부,과장,2026-01-19
U009,시간 관리 능력이 우수합니다.,재무부,대리,2026-01-18
U009,성실하고 협력적인 태도를 보입니다.,인사부,차장,2026-01-11
U009,업무 우선순위 설정이 필요합니다.,영업부,부장,2025-12-24
U010,시간 관리 능력이 우수합니다.,마케팅부,차장,2025-12-30
U010,조금 더 적극적인 태도가 필요합니다.,개발부,과장,2026-01-04
U010,전반적으로 만족스러운 성과를 보입니다.,영업부,대리,2026-01-19
U010,개선이 필요한 부분이 있습니다.,개발부,차장,2026-01-11
U011,"이 직원은 업무 능력이 뛰어나지만 가끔 시발점이 안 맞아요. fuck this shit, 정말 병신 같은 행동을 자주 해.",생산부,대리,2026-01-20
U011,"커뮤니케이션이 원활하고 팀워크가 뛰어납니다. 문제 해결 능력이 우수해요.",관리부,과장,2026-01-19
U011,"This asshole is fucking annoying. 야동 같은 짓은 하지 마라. 정말 개새끼 같은 놈이야.",생산부,사원,2026-01-18
U012,"팀 협력이 잘 되고 창의적인 해결책을 제시합니다.",영업부,사원,2026-01-20
U012,"업무 능력이 뛰어나지만 가끔 지랄 같은 소리를 해서 문제야. damn this guy is such a dick.",영업부,과장,2026-01-19
U012,"리더십이 우수하고 팀을 잘 이끌어갑니다. 커뮤니케이션이 원활해요.",관리부,부장,2026-01-18
U013,"이 미친놈은 정말 화나게 한다. shit, what the fuck is wrong with him.",관리부,대리,2026-01-20
U013,"문제 해결 능력이 탁월하고 창의적입니다. 팀워크가 좋아요.",인사부,사원,2026-01-19
U013,"야동 보듯이 일하는 놈이야. 이 개년은 정말 역겨워. fucking disgusting behavior.",인사부,과장,2026-01-18
U014,"윤리적 태도가 모범적이고 책임감이 강합니다.",기술부,부장,2026-01-20
U014,"시발 이 새끼는 정말 짜증나게 해. asshole motherfucker.",기술부,대리,2026-01-19
U014,"병신 같은 계획을 세워서 망했어. this plan is fucking stupid.",영업부,과장,2026-01-18
U015,"커뮤니케이션이 뛰어나고 팀 협력이 잘 됩니다.",생산부,부장,2026-01-20
U015,"지랄 같은 소리 집어치워. damn you are so annoying.",생산부,대리,2026-01-19
U015,"이 미친년은 정말 개새끼 같아. bitch please, shut the fuck up.",관리부,과장,2026-01-18
U015,"야동 보는 듯한 눈빛으로 일해. this guy is such a pervert.",인사부,대리,2026-01-17
